,distance,sentiment
ameliorating,0.26991150442477874,0.4404
amend,0.18307522123893805,0.4404
amended,0.18528761061946902,0.4404
amending,0.17256637168141592,0.4404
amends,0.2643805309734513,-0.4404
amenities,0.2538716814159292,0.4767
amenity,0.4303097345132743,0.4215
amiable,0.17699115044247787,0.4215
amicable,0.1620575221238938,0.3818
amiss,0.351216814159292,-0.4767
amnesties,0.35232300884955753,0.3182
amnesty,0.5287610619469026,0.3182
amok,0.21183628318584072,-0.6249
amoral,0.3252212389380531,-0.3818
amorality,0.4358407079646018,-0.3612
amorist,0.45132743362831856,0.3818
amorous,0.5071902654867256,0.4215
amorously,0.5658185840707964,0.5106
amorphous,0.42367256637168144,-0.0516
amortisation,0.48451327433628316,0.1531
amortise,0.44745575221238937,0.128
amortised,0.4225663716814159,-0.0516
amount,0.4745575221238938,0.0772
amounted,0.45685840707964603,0.0772
amounting,0.41261061946902655,0.0772
amounts,0.5309734513274337,0.0772
ample,0.24280973451327434,0.5574
ampler,0.31139380530973454,0.5574
amplification,0.2334070796460177,0.5267
amplifications,0.2334070796460177,0.5267
amplified,0.19745575221238937,-0.1531
amplifies,0.22234513274336284,-0.1531
amplify,0.398783185840708,-0.1531
amplifying,0.3368362831858407,-0.1531
amply,0.44192477876106195,0.4404
amuck,0.31139380530973454,-0.6249
amuse,0.4043141592920354,0.4019
amused,0.41095132743362833,0.4215
amusement,0.4186946902654867,0.3612
amusements,0.4186946902654867,0.3612
amuses,0.4856194690265487,0.4019
amusing,0.42754424778761063,0.3818
amusingly,0.48617256637168144,0.2023
angelic,0.17920353982300885,0.4215
anger,0.23174778761061948,-0.5719
angered,0.23396017699115043,-0.5106
angering,0.22123893805309736,-0.4939
angers,0.31305309734513276,-0.5106
angrier,0.29922566371681414,-0.5106
angriest,0.35176991150442477,-0.6249
angrily,0.4153761061946903,-0.4215
angry,0.4452433628318584,-0.5106
anguish,0.3694690265486726,-0.5994
anguished,0.3274336283185841,-0.4215
anguishes,0.35232300884955753,-0.4767
animate,0.2997787610619469,0.5719
animated,0.28761061946902655,0.5719
animates,0.3290929203539823,0.5719
animating,0.24336283185840707,0.5719
animation,0.25331858407079644,0.3182
animations,0.25331858407079644,0.3182
animator,0.3407079646017699,0.4767
animators,0.3407079646017699,0.4767
animosities,0.30918141592920356,-0.4404
animosity,0.43307522123893805,-0.4404
animus,0.4021017699115044,-0.4404
anneal,0.23174778761061948,-0.4215
annealed,0.2140486725663717,-0.4215
annealing,0.1698008849557522,-0.4215
annihilating,0.23561946902654868,-0.6486
annoy,0.45741150442477874,-0.4404
annoyance,0.45132743362831856,-0.3182
annoyances,0.45132743362831856,-0.4215
annoyed,0.4596238938053097,-0.3818
annoyer,0.5060840707964602,-0.4939
annoyers,0.5353982300884956,-0.3612
annoying,0.4469026548672566,-0.4019
annoys,0.5387168141592921,-0.4215
annul,0.3639380530973451,-0.296
annulled,0.36172566371681414,-0.296
annulling,0.3174778761061947,-0.296
annuls,0.4452433628318584,-0.296
anomic,0.2649336283185841,-0.3612
answer,0.5199115044247787,0.3182
answered,0.5022123893805309,0.3818
answering,0.4579646017699115,0.3818
answers,0.5763274336283186,0.3182
antagonise,0.3185840707964602,-0.4588
antagonised,0.3185840707964602,-0.4588
antagonises,0.3185840707964602,-0.4588
antagonising,0.3185840707964602,-0.4588
antagonism,0.3185840707964602,-0.4404
antagonisms,0.3185840707964602,-0.296
antagonist,0.3185840707964602,-0.4404
antagonistic,0.3185840707964602,-0.4019
antagonists,0.3185840707964602,-0.4019
anteater,0.41095132743362833,0.0516
anteaters,0.41095132743362833,0.0516
antechamber,0.28595132743362833,0.0258
anteroom,0.40486725663716816,0.0258
anti,0.2870575221238938,-0.3182
antic,0.30254424778761063,0.296
anticipate,0.351216814159292,0.3182
anticipated,0.351216814159292,0.3182
anticipates,0.351216814159292,0.3182
anticipating,0.351216814159292,0.3182
anticipation,0.351216814159292,0.1027
anticipations,0.351216814159292,0.1027
antics,0.3838495575221239,0.296
antipathetic,0.38716814159292035,-0.4019
antipathies,0.37389380530973454,-0.4404
antipathy,0.497787610619469,-0.4404
anxieties,0.44579646017699115,-0.1531
anxiety,0.6222345132743363,-0.1779
anxious,0.588495575221239,-0.25
anxiously,0.6471238938053098,-0.2263
apart,0.3805309734513274,-0.3182
apathetic,0.3346238938053097,-0.296
apathetically,0.3346238938053097,-0.1027
apathy,0.48617256637168144,-0.296
aphrodisiac,0.30254424778761063,0.5267
aplomb,0.3069690265486726,0.34
apocalyptic,0.43307522123893805,-0.6597
apologia,0.31360619469026546,0.0516
apologies,0.2870575221238938,0.0516
apologise,0.30254424778761063,0.3818
apologised,0.30254424778761063,0.1027
apologises,0.30254424778761063,0.2023
apologising,0.28926991150442477,0.0516
apology,0.46349557522123896,0.0516
apostasy,0.650995575221239,-0.34
apotheosis,0.372787610619469,0.5267
appal,0.28207964601769914,-0.3818
appalled,0.27986725663716816,-0.4588
appalling,0.23561946902654868,-0.3612
appallingly,0.23561946902654868,-0.4588
appals,0.3633849557522124,-0.3818
appeal,0.28263274336283184,0.4019
appealed,0.2649336283185841,0.3612
appealing,0.2206858407079646,0.3612
appeals,0.33904867256637167,0.4019
appear,0.33573008849557523,0.2263
